"year","fips","pop2010","pop2023","state","stateCode","growthSince2010","name","ctyname","slug","landArea","density","StatePercentage","StateRank","densityMi","area"
2023,36007,200600,198107,"New York","NY",-0.012427716849451653,"Broome County","Broome County","broome-county-ny",706,280.60481586402267,0.009688240881552799,19,280.60481586402267,706
2023,36111,182493,181659,"New York","NY",-0.004570038302838975,"Ulster County","Ulster County","ulster-county-ny",1124,161.61832740213524,0.008883866548390516,20,161.61832740213524,1124
2023,36083,159429,161640,"New York","NY",0.013868242289671207,"Rensselaer County","Rensselaer County","rensselaer-county-ny",652,247.91411042944785,0.007904855740050551,21,247.91411042944785,652
2023,36093,154727,159060,"New York","NY",0.028004162169498636,"Schenectady County","Schenectady County","schenectady-county-ny",205,775.9024390243902,0.007778683209678548,22,775.9024390243902,205
2023,36013,134905,125482,"New York","NY",-0.06984915310774253,"Chautauqua County","Chautauqua County","chautauqua-county-ny",1060,118.37924528301886,0.006136581959744018,23,118.37924528301886,1060
2023,36045,116229,116868,"New York","NY",0.005497767338616066,"Jefferson County","Jefferson County","jefferson-county-ny",1269,92.09456264775413,0.005715322201362458,24,92.09456264775413,1269
2023,36075,122109,116151,"New York","NY",-0.04879247229933914,"Oswego County","Oswego County","oswego-county-ny",952,122.00735294117646,0.005680257974898611,25,122.00735294117646,952
2023,36069,107931,113817,"New York","NY",0.05453484170442224,"Ontario County","Ontario County","ontario-county-ny",644,176.73447204968943,0.005566115848585335,26,176.73447204968943,644
2023,36089,111944,107473,"New York","NY",-0.039939612663474566,"St. Lawrence County","St. Lawrence County","st-lawrence-county-ny",2680,40.10186567164179,0.00525586835529852,27,40.10186567164179,2680
2023,36109,101564,106994,"New York","NY",0.053463825765034834,"Tompkins County","Tompkins County","tompkins-county-ny",475,225.25052631578947,0.005232443300241083,28,225.25052631578947,475
2023,36079,99710,97056,"New York","NY",-0.026617189850566603,"Putnam County","Putnam County","putnam-county-ny",230,421.9826086956522,0.004746434537901177,29,421.9826086956522,230
2023,36101,98990,91961,"New York","NY",-0.07100717244166077,"Steuben County","Steuben County","steuben-county-ny",1391,66.11143062544932,0.004497268242457242,30,66.11143062544932,1391
2023,36117,93772,90536,"New York","NY",-0.03450923516614768,"Wayne County","Wayne County","wayne-county-ny",604,149.89403973509934,0.004427579926263404,31,149.89403973509934,604
2023,36015,88830,82744,"New York","NY",-0.06851288978948555,"Chemung County","Chemung County","chemung-county-ny",407,203.3022113022113,0.004046519322907342,32,203.3022113022113,407
2023,36019,82128,79159,"New York","NY",-0.03615088642119613,"Clinton County","Clinton County","clinton-county-ny",1038,76.26107899807322,0.0038711981905881062,33,76.26107899807322,1038
2023,36105,77547,78948,"New York","NY",0.01806646291926195,"Sullivan County","Sullivan County","sullivan-county-ny",968,81.55785123966942,0.0038608794293832644,34,81.55785123966942,968
2023,36009,80317,76058,"New York","NY",-0.05302737901067023,"Cattaraugus County","Cattaraugus County","cattaraugus-county-ny",1308,58.14831804281346,0.003719546633734006,35,58.14831804281346,1308
2023,36011,80026,75114,"New York","NY",-0.06138005148326797,"Cayuga County","Cayuga County","cayuga-county-ny",692,108.54624277456648,0.0036733811807606845,36,108.54624277456648,692
2023,36053,73442,66387,"New York","NY",-0.09606219874186428,"Madison County","Madison County","madison-county-ny",655,101.35419847328244,0.0032465952611651565,37,101.35419847328244,655
2023,36113,65707,65746,"New York","NY",0.0005935440668420888,"Warren County","Warren County","warren-county-ny",867,75.8316032295271,0.003215247744898314,38,75.8316032295271,867
2023,36021,63096,61111,"New York","NY",-0.0314599974641816,"Columbia County","Columbia County","columbia-county-ny",635,96.23779527559056,0.002988577326962566,39,96.23779527559056,635
2023,36051,65393,60766,"New York","NY",-0.0707568088327497,"Livingston County","Livingston County","livingston-county-ny",632,96.14873417721519,0.0029717054188314264,40,96.14873417721519,632
2023,36115,63216,60729,"New York","NY",-0.0393413059984814,"Washington County","Washington County","washington-county-ny",831,73.07942238267148,0.0029698959678144633,41,73.07942238267148,831
2023,36043,64519,58825,"New York","NY",-0.0882530727382631,"Herkimer County","Herkimer County","herkimer-county-ny",1412,41.66076487252125,0.0028767825965631873,42,41.66076487252125,1412
2023,36037,60079,57881,"New York","NY",-0.03658516286888924,"Genesee County","Genesee County","genesee-county-ny",493,117.40567951318458,0.002830617143589866,43,117.40567951318458,493
2023,36077,62259,57402,"New York","NY",-0.07801281742398691,"Otsego County","Otsego County","otsego-county-ny",1002,57.287425149700596,0.002807192088532428,44,57.287425149700596,1002
2023,36035,55531,52661,"New York","NY",-0.05168284381696708,"Fulton County","Fulton County","fulton-county-ny",495,106.38585858585859,0.002575337837953489,45,106.38585858585859,495
